iter	Passed	Remaining
307	516	1160
308	518	1159
309	519	1157
310	521	1154
311	523	1153
312	525	1152
313	526	1150
314	528	1149
315	530	1147
316	532	1147
317	534	1145
318	535	1143
319	537	1141
320	538	1139
321	540	1137
322	541	1135
323	543	1133
324	544	1131
325	546	1129
326	548	1128
327	550	1127
328	552	1126
329	553	1124
330	555	1122
331	556	1120
332	558	1118
333	559	1116
334	561	1114
335	562	1112
336	564	1111
337	567	1110
338	568	1109
339	570	1107
340	572	1106
341	574	1104
342	575	1102
343	576	1100
344	578	1098
345	580	1097
346	582	1096
347	584	1094
348	585	1091
349	586	1089
350	588	1087
351	589	1085
352	591	1083
353	592	1081
354	594	1080
355	596	1079
356	598	1077
357	599	1075
358	600	1073
359	602	1071
360	604	1069
361	605	1067
362	607	1065
363	608	1063
364	610	1062
365	612	1061
366	614	1059
367	616	1057
368	617	1056
369	621	1059
370	626	1062
371	631	1066
372	635	1067
373	644	1079
374	648	1081
375	651	1080
376	653	1080
377	656	1080
378	659	1081
379	661	1080
380	663	1078
381	665	1076
382	667	1075
383	669	1073
384	671	1073
385	673	1072
386	676	1071
387	678	1069
388	680	1068
389	682	1066
390	683	1065
391	685	1063
392	686	1060
393	688	1058
394	689	1056
395	691	1055
396	693	1053
397	695	1051
398	696	1049
399	698	1047
400	699	1045
401	701	1043
402	703	1041
403	704	1039
404	706	1037
405	708	1036
406	709	1034
407	711	1032
408	712	1029
409	714	1028
410	715	1025
411	717	1023
412	718	1021
413	720	1019
414	722	1018
415	724	1016
416	725	1014
417	727	1012
418	728	1010
419	730	1008
420	731	1006
421	733	1004
422	734	1002
423	736	1000
424	738	998
425	740	997
426	741	995
427	743	993
428	744	991
429	746	989
430	747	987
431	749	985
432	750	982
433	752	980
434	754	979
435	755	977
436	757	975
437	758	973
438	760	971
439	761	969
440	763	967
441	764	965
442	766	963
443	767	961
444	769	959
445	771	957
446	772	956
447	774	954
448	775	952
449	777	949
450	778	947
451	780	946
452	781	944
453	783	942
454	784	940
455	786	938
456	788	936
457	789	934
458	791	932
459	792	930
